;Канал: 0;Канал: 1;
41;-0,3076;2,1606;
41;-0,3271;2,1899;
41;-0,3589;2,2095;
42;-0,3467;2,2314;
42;-0,3784;2,2412;
42;-0,3979;2,2705;
42;-0,3784;2,2900;
42;-0,3979;2,3193;
42;-0,4077;2,3291;
42;-0,4272;2,3608;
42;-0,4370;2,3901;
42;-0,4370;2,4292;
42;-0,4370;2,4683;
43;-0,4565;2,5000;
43;-0,4565;2,5391;
43;-0,4663;2,5879;
43;-0,4883;2,6074;
43;-0,4883;2,6587;
43;-0,4980;2,6685;
43;-0,5176;2,7075;
43;-0,5273;2,7075;
43;-0,5566;2,7173;
43;-0,5469;2,7075;
44;-0,5371;2,6978;
44;-0,5273;2,6587;
44;-0,5371;2,6294;
44;-0,5273;2,5391;
44;-0,5371;2,4585;
44;-0,5371;2,4292;
44;-0,5566;2,3706;
44;-0,5273;2,3193;
44;-0,5371;2,2705;
44;-0,5176;2,1997;
45;-0,5371;2,1411;
45;-0,5273;2,0898;
45;-0,5273;2,0215;
45;-0,5371;1,9409;
45;-0,5176;1,8823;
45;-0,5176;1,8530;
45;-0,5176;1,7627;
45;-0,5176;1,6724;
45;-0,4980;1,6138;
45;-0,5078;1,5137;
46;-0,5078;1,4526;
46;-0,5078;1,3452;
46;-0,5078;1,2549;
46;-0,4883;1,1548;
46;-0,4980;1,0449;
46;-0,4883;0,9351;
46;-0,4980;0,8374;
46;-0,4565;0,7471;
46;-0,4980;0,6470;
46;-0,4468;0,5688;
47;-0,4663;0,4492;
47;-0,4565;0,3784;
47;-0,4370;0,2686;
47;-0,4272;0,1904;
47;-0,4468;0,1001;
47;-0,4077;0,0098;
47;-0,3979;-0,0781;
47;-0,3882;-0,1587;
47;-0,3882;-0,2686;
47;-0,3784;-0,3271;
48;-0,3467;-0,4175;
48;-0,3271;-0,4883;
48;-0,3369;-0,5664;
48;-0,3076;-0,6470;
48;-0,2881;-0,7153;
48;-0,2588;-0,7764;
48;-0,2295;-0,8350;
48;-0,2075;-0,9155;
48;-0,1782;-0,9546;
48;-0,1489;-1,0352;
49;-0,1099;-1,0938;
49;-0,1001;-1,1646;
49;-0,0684;-1,2036;
49;-0,0488;-1,2524;
49;-0,0391;-1,3037;
49;0,0000;-1,3623;
49;0,0195;-1,4038;
49;0,0513;-1,4526;
49;0,0806;-1,4819;
49;0,1001;-1,5332;
50;0,1489;-1,5918;
50;0,1489;-1,6309;
50;0,1807;-1,6724;
50;0,1904;-1,7212;
50;0,2197;-1,7505;
50;0,2686;-1,8018;
50;0,2490;-1,8506;
50;0,2686;-1,8799;
50;0,3003;-1,9116;
50;0,3198;-1,9507;
51;0,3394;-1,9800;
51;0,3394;-2,0190;
51;0,3589;-2,0410;
51;0,3687;-2,0605;
51;0,4175;-2,0898;
51;0,4175;-2,1191;
51;0,4175;-2,1387;
51;0,4395;-2,1704;
51;0,4688;-2,1997;
51;0,4590;-2,2095;
52;0,4590;-2,2290;
52;0,4980;-2,2583;
52;0,4785;-2,2681;
52;0,5273;-2,2998;
52;0,5469;-2,3193;
52;0,5469;-2,3389;
52;0,5688;-2,3584;
52;0,5591;-2,3975;
52;0,5786;-2,4390;
52;0,5591;-2,4585;
53;0,5786;-2,5073;
53;0,5884;-2,5488;
53;0,6079;-2,5879;
53;0,6177;-2,5977;
53;0,5981;-2,6367;
53;0,6177;-2,6660;
53;0,6274;-2,6782;
53;0,6079;-2,7075;
53;0,6567;-2,6978;
53;0,6470;-2,6978;
54;0,6665;-2,6782;
54;0,6763;-2,6563;
54;0,6982;-2,6074;
54;0,6763;-2,5269;
54;0,7080;-2,4780;
54;0,6885;-2,4194;
54;0,6763;-2,3584;
54;0,6763;-2,2998;
54;0,6567;-2,2485;
54;0,6885;-2,1802;
55;0,6885;-2,1191;
55;0,6567;-2,0703;
55;0,6470;-2,0288;
55;0,6763;-1,9507;
55;0,6567;-1,8799;
55;0,6372;-1,8213;
55;0,6567;-1,7603;
55;0,6372;-1,6919;
55;0,6372;-1,6113;
55;0,6372;-1,5112;
56;0,6274;-1,4233;
56;0,6177;-1,3428;
56;0,5981;-1,2329;
56;0,6372;-1,1353;
56;0,6079;-1,0254;
56;0,6079;-0,9448;
56;0,5981;-0,8350;
56;0,6079;-0,7349;
56;0,5884;-0,6470;
